MarketCap,Domain,liability,assets,revenue,totalExpense,PAT,CashFlow,DtoE,currMarketCap,Acquired
210.7811936,CrudeOil,1.507492305,20.88813328,39.87095636,14.32767438,11.39573576,31.82800406,0.395913538,388.9054465,FALSE
171.705962,Finance,1.659487916,57.02898501,31.27517056,4.447290501,5.068270583,30.64359944,0.319066363,289.632176,FALSE
200.7604144,IT,3.712471736,42.2501736,30.61622609,7.667165594,12.00754466,29.47811879,0.691721833,164.0804556,TRUE
243.6556759,AutoMobile,7.297802951,50.4913356,15.218071,6.811385031,6.737003155,19.92891656,0.882300633,895.2058429,FALSE
171.9227007,NBFC,4.208380754,27.61858082,39.305631,9.028012658,14.87507734,31.44063729,0.085286648,217.2308108,TRUE
71.80027146,Infrastructre,4.315981982,34.80420449,17.00483114,6.348626242,12.71547115,38.3086355,0.666021014,781.8980326,FALSE
101.1320358,Ecommerce,5.408297378,23.91205712,31.21120075,7.980347713,12.94218753,10.12563865,0.292094556,1123.558105,FALSE
91.13877917,Commodities,2.83261076,41.19700251,31.17205122,11.86420758,8.012763491,17.89846759,0.05852149,958.6002566,TRUE
236.2440804,CyberSecurity,7.06234173,54.34124849,29.87777294,14.37246591,9.604814181,29.15608067,0.219480064,363.2068218,FALSE
153.3277701,CrudeOil,1.217983491,27.2348766,15.27665898,5.730916421,7.551399541,32.78783793,0.002800532,589.1747284,FALSE
233.1236236,CyberSecurity,2.607223868,51.36078241,7.318342788,8.651804782,2.409030464,21.3365218,0.490631704,1136.783307,FALSE
207.2396142,CrudeOil,3.405401729,50.55664794,17.38177714,10.90514062,1.928339492,12.37622516,0.767110195,281.3074826,FALSE
125.3580766,Finance,3.593282383,22.95954773,25.84012262,10.51182956,9.917665697,38.67896275,0.246406955,600.697934,FALSE
44.08131279,IT,3.174555795,26.54646069,8.872295454,4.937165094,7.737211483,13.35426928,0.87257217,287.0359084,FALSE
296.6994098,AutoMobile,5.41366465,48.50025905,8.500659919,9.592380473,7.98289047,19.57583199,0.587440054,103.0604276,TRUE
78.94246042,NBFC,5.948332039,48.98467958,8.485656217,8.902168405,5.880582544,17.48436721,0.219456937,205.7193922,FALSE
195.1143135,Infrastructre,6.913248344,40.26976622,23.26093721,3.901004767,8.846712036,31.4517415,0.863465254,1043.780969,TRUE
37.56214437,Ecommerce,2.49174725,50.00219675,34.39746582,11.9963148,0.789461344,12.8902022,0.554522937,98.23888463,FALSE
188.2503989,Commodities,5.374288608,45.65298021,25.31373367,12.59348668,13.50989323,28.1222977,0.108051746,612.4973996,FALSE
131.0153712,CyberSecurity,4.076420583,48.3960817,33.13071687,5.018520057,10.74867556,12.91182364,0.118803094,126.6700593,TRUE
97.79435485,CrudeOil,2.468312164,23.0752729,44.234234,6.719396746,7.100465252,37.75718612,0.361215873,1108.803692,FALSE
192.5174668,Finance,7.064300999,44.62514399,24.89366812,10.15331654,3.109834006,33.37767904,0.315209212,805.7750505,TRUE
249.8958388,IT,1.949010567,26.40103499,36.09432437,9.42333573,1.810177702,35.07715329,0.364425082,722.7173078,FALSE
119.364866,AutoMobile,1.670525957,51.27839306,22.80495203,4.337424851,0.3108095,35.66324924,0.324940972,732.0468729,FALSE
253.3682158,NBFC,1.895743317,56.83321854,25.26966603,3.846441445,12.30737815,37.98509727,0.54339943,974.8315742,FALSE
287.1702053,Infrastructre,2.745884212,36.78787558,24.81443871,4.742159096,4.009475214,27.71441536,0.442159484,329.4970518,TRUE
119.8888926,Ecommerce,3.586602197,33.88067653,12.72043485,6.350201418,8.266661782,18.24474867,0.630562032,1119.192505,TRUE
198.4453901,Commodities,4.739769956,31.60754596,36.12431565,3.06374509,0.293426486,24.29655227,0.616805009,1151.582554,FALSE
95.24874652,CyberSecurity,1.121226838,47.60102734,15.73256668,9.505118508,11.09673301,14.23532057,0.005203739,552.1038213,TRUE
46.53991221,CrudeOil,3.512650505,36.99835528,30.48276486,12.43153227,14.38709905,18.56669613,0.529891143,298.1999579,FALSE
43.35153092,Finance,6.744678171,56.1333473,8.042838881,14.12180843,11.13552419,18.30578247,0.614506408,884.0305201,FALSE
205.5084319,IT,7.295735016,25.69150125,29.74448754,10.18594842,9.683565885,21.1777138,0.78770689,1013.458157,TRUE
84.0288465,AutoMobile,1.404053291,23.6021592,29.46426557,10.94051767,10.86502292,23.54229892,0.781307381,767.1259048,TRUE
98.37206743,NBFC,2.134353859,59.82496511,15.6531376,4.423908984,7.572227951,11.24755363,0.826488919,864.1716954,TRUE
93.74310487,Infrastructre,4.143913332,25.99735697,14.87184381,12.84205176,2.017345763,39.61321369,0.169990511,216.3476341,TRUE
202.7652672,Ecommerce,1.547207483,48.99611918,13.77412479,6.845186773,14.10939733,29.80292725,0.83846294,1155.227456,TRUE
158.4721809,Commodities,1.881769415,37.63267803,13.2796839,5.759241284,2.904986244,34.08186937,0.3944757,594.7951775,FALSE
173.4046875,CyberSecurity,1.669569523,38.85206377,19.23164806,6.853366443,4.269203352,32.70584776,0.362923782,79.70979686,TRUE
144.5281513,CrudeOil,1.221609404,21.02346835,5.773617893,6.40222377,11.76741354,23.08103304,0.039473692,895.2957229,FALSE
234.4088441,CyberSecurity,6.748473351,27.24499138,19.40883371,10.540237,6.429305516,30.52303693,0.307844292,1043.426692,TRUE
101.4559211,CrudeOil,7.092855027,28.08785468,22.02563815,10.8200195,4.665760789,27.91398626,0.728833169,148.5286682,FALSE
